experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,68,68.0,0.5372242647058824,0.53125,0.3571733481571373,-0.2035845588235294,-0.296875,0.10482424656734435,5.125,4.921415441176471,0.0,0,False,True,graph,True
ablation_zero,1,68,68.0,0.7458639705882353,0.40625,0.685991059721865,-0.5500919117647058,-0.3125,0.11205468085899539,6.65625,6.106158088235294,0.0,0,False,True,graph,True
ablation_zero,2,68,68.0,0.31295955882352944,0.265625,0.2607720449757743,-0.02619485294117647,-0.0625,0.06721279101238146,4.65625,4.630055147058823,0.0,0,False,True,graph,True
ablation_zero,3,68,68.0,0.26516544117647056,0.1875,0.1897788019667156,-0.16314338235294118,-0.171875,0.05370439304089651,4.9375,4.774356617647059,0.0,0,False,True,graph,True
ablation_zero,4,68,68.0,0.42233455882352944,0.34375,0.3901813767155262,-0.23207720588235295,-0.125,0.08141389070060534,5.1875,4.955422794117647,0.0,0,False,True,graph,True
ablation_zero,5,68,68.0,0.4375,0.3125,0.33063075743371795,0.050551470588235295,0.171875,0.08092485534164187,5.40625,5.4568014705882355,0.0,0,False,True,graph,True
ablation_zero,6,68,68.0,0.3860294117647059,0.375,0.30560321902795107,0.10661764705882353,0.09375,0.070187165647788,5.5,5.606617647058823,0.0,0,False,True,graph,True
ablation_zero,7,68,68.0,0.5186121323529411,0.453125,0.3439328863151093,-0.3343290441176471,-0.3203125,0.14557533498868427,3.5625,3.228170955882353,0.0,0,False,True,graph,True
ablation_zero,8,68,68.0,1.0935202205882353,0.875,0.8898390771971303,-0.9979319852941176,-0.875,0.26917420748221366,4.0625,3.0645680147058822,0.0,0,False,True,graph,True
ablation_zero,9,68,68.0,0.3786764705882353,0.3125,0.3387109206924285,-0.01838235294117647,0.0,0.06807666874741003,5.5625,5.544117647058823,0.0,0,False,True,graph,True
ablation_zero,10,68,68.0,0.6036305147058824,0.4375,0.44114870112957744,-0.39958639705882354,-0.4375,0.12708010809159603,4.75,4.350413602941177,0.0,0,False,True,graph,True
ablation_zero,11,68,68.0,0.6414292279411765,0.375,0.6099340559252888,-0.5986902573529411,-0.375,0.1927299082858599,3.328125,2.729434742647059,0.0,0,False,True,graph,True
ablation_zero,12,68,68.0,0.9136029411764706,0.6875,0.559150413699636,-0.4485294117647059,-0.46875,0.17096663194700426,5.34375,4.895220588235294,0.0,0,False,True,graph,True
ablation_zero,13,68,68.0,1.1465992647058822,0.546875,1.1914611045659365,-0.9784007352941176,-0.390625,0.17985870790702668,6.375,5.396599264705882,0.0,0,False,True,graph,True
ablation_zero,14,68,68.0,0.6953125,0.5625,0.551889325129744,0.2614889705882353,0.375,0.10113636348925618,6.875,7.1364889705882355,0.0,0,False,True,graph,True
ablation_zero,15,68,68.0,0.8556985294117647,0.65625,0.6435455001350516,-0.4172794117647059,-0.359375,0.13422722008933213,6.375,5.957720588235294,0.0,0,False,True,graph,True
ablation_zero,16,68,68.0,0.5726102941176471,0.46875,0.47914290779106744,-0.2922794117647059,-0.28125,0.07185697799517828,7.96875,7.676470588235294,0.0,0,False,True,graph,True
ablation_zero,17,68,68.0,0.7803308823529411,0.5625,0.7988770867309235,-0.5238970588235294,-0.4375,0.15704772443420656,4.96875,4.444852941176471,0.0,0,False,True,graph,True
ablation_zero,18,68,68.0,1.264016544117647,0.625,1.6387285585685334,-0.8384650735294118,-0.375,0.18726170996222663,6.75,5.911534926470588,0.0,0,False,True,graph,True
ablation_zero,19,68,68.0,1.5420496323529411,1.0625,1.4998062718709773,-0.5930606617647058,-0.21875,4.934558665623534,-0.3125,-0.9055606617647058,0.35294117647058826,24,False,True,graph,True
ablation_zero,20,68,68.0,2.0746783088235294,1.3359375,1.6094663464608407,-1.3715533088235294,-0.90625,0.6638970566990589,3.125,1.7534466911764706,0.25,17,False,True,graph,True
ablation_zero,21,68,68.0,1.2925091911764706,1.0625,1.2691566305435646,-0.9487591911764706,-0.5625,0.23500167069571887,5.5,4.551240808823529,0.0,0,False,True,graph,True
ablation_zero,22,68,68.0,1.0078125,0.625,0.7926201523576772,-0.3708639705882353,-0.5,0.1662371131278563,6.0625,5.6916360294117645,0.0,0,False,True,graph,True
ablation_zero,23,68,68.0,2.3403033088235294,2.15625,1.8581837742932548,-0.43175551470588236,-1.375,1.8722426320808827,-1.25,-1.6817555147058822,0.17647058823529413,12,False,True,graph,True
ablation_zero,24,68,68.0,0.8056066176470589,0.46875,0.9462256496563034,-0.6447610294117647,-0.390625,0.11111815400494855,7.25,6.6052389705882355,0.0,0,False,True,graph,True
ablation_zero,25,68,68.0,1.4361213235294117,1.203125,1.5405684121893242,-0.9030330882352942,-0.5,0.1573831585704745,9.125,8.221966911764707,0.0,0,False,True,graph,True
ablation_zero,26,68,68.0,0.3219209558823529,0.28125,0.224798762520591,-0.010340073529411764,-0.078125,0.0696045308510935,4.625,4.614659926470588,0.0,0,False,True,graph,True
ablation_zero,27,68,68.0,0.5137867647058824,0.375,0.453221726453703,-0.36672794117647056,-0.375,0.055544515043290464,9.25,8.883272058823529,0.0,0,False,True,graph,True
ablation_zero,28,68,68.0,0.7578125,0.8125,0.5525228086313142,-0.5500919117647058,-0.5,0.09399224794543592,8.0625,7.512408088235294,0.0,0,False,True,graph,True
ablation_zero,29,68,68.0,0.49034926470588236,0.4375,0.33766481917930324,-0.27068014705882354,-0.28125,0.06734410493149405,7.28125,7.010569852941177,0.0,0,False,True,graph,True
ablation_zero,30,68,68.0,0.5753676470588235,0.296875,0.8170123568076988,0.22518382352941177,0.03125,0.20922459816966452,-2.75,-2.5248161764705883,0.07352941176470588,5,False,True,graph,True
ablation_zero,31,68,68.0,1.1999080882352942,0.953125,0.7084070814900469,-0.7918198529411765,-0.953125,0.5564791108037117,-2.15625,-2.9480698529411766,0.0,0,False,True,graph,True
ablation_zero,32,68,68.0,0.4209558823529412,0.28125,0.34691431084542923,0.36580882352941174,0.21875,0.09354575142610744,-4.5,-4.134191176470588,0.0,0,False,True,graph,True
ablation_zero,33,68,68.0,0.4255514705882353,0.46875,0.2870732867023743,0.3630514705882353,0.46875,0.10238832350420494,-4.15625,-3.7931985294117645,0.0,0,False,True,graph,True
ablation_zero,34,68,68.0,0.5574448529411765,0.59375,0.2854225260357612,-0.5179227941176471,-0.59375,0.14990113652226286,-3.71875,-4.236672794117647,0.0,0,False,True,graph,True
ablation_zero,35,68,68.0,0.9011948529411765,0.671875,0.5830764488763943,-0.6190257352941176,-0.53125,0.23445719690318162,-3.84375,-4.462775735294118,0.0,0,False,True,graph,True
ablation_zero,36,68,68.0,1.0900735294117647,0.6875,1.1146461958400926,0.21966911764705882,0.515625,0.23254901911173856,4.6875,4.907169117647059,0.014705882352941176,1,False,True,graph,True
ablation_zero,37,68,68.0,0.5330882352941176,0.34375,0.4865220036224257,-0.22886029411764705,-0.21875,0.24026511904967496,2.21875,1.989889705882353,0.0,0,False,True,graph,True
ablation_zero,38,68,68.0,0.7090992647058824,0.46875,0.5899267459262657,-0.25597426470588236,-0.078125,0.10909219440230156,6.5,6.244025735294118,0.0,0,False,True,graph,True
ablation_zero,39,68,68.0,0.9609375,0.984375,0.7505123988144724,-0.7329963235294118,-0.828125,0.2228260864398235,4.3125,3.5795036764705883,0.0,0,False,True,graph,True
ablation_zero,40,68,68.0,0.90625,0.71875,0.7626230938077835,-0.6139705882352942,-0.546875,0.18954248326370193,4.78125,4.167279411764706,0.0,0,False,True,graph,True
ablation_zero,41,68,68.0,0.7959558823529411,0.65625,0.6279889023361949,0.14154411764705882,-0.046875,0.40429504930031274,1.96875,2.110294117647059,0.0,0,False,True,graph,True
ablation_zero,42,68,68.0,0.5599724264705882,0.34375,0.6085079837979859,-0.3517922794117647,-0.15625,0.1906289104899741,2.9375,2.5857077205882355,0.0,0,False,True,graph,True
ablation_zero,43,68,68.0,0.7396599264705882,0.5078125,0.6889380857731163,-0.6440716911764706,-0.4140625,0.17931149689150866,4.125,3.4809283088235294,0.0,0,False,True,graph,True
ablation_zero,44,68,68.0,0.7309283088235294,0.625,0.6101360153580696,-0.5066636029411765,-0.5,0.26579211133294844,2.75,2.2433363970588234,0.0,0,False,True,graph,True
ablation_zero,45,68,68.0,0.5875459558823529,0.453125,0.5422757002884478,-0.42302389705882354,-0.2265625,0.17653962940603388,3.328125,2.9051011029411766,0.0,0,False,True,graph,True
ablation_zero,46,68,68.0,0.6079963235294118,0.4375,0.4330946186231268,-0.15119485294117646,-0.25,9.727939620000253,-0.0625,-0.21369485294117646,0.3235294117647059,22,False,True,graph,True
ablation_zero,47,68,68.0,0.46369485294117646,0.25,0.39780656967438005,-0.18887867647058823,-0.1875,0.21820934153368612,-2.125,-2.3138786764705883,0.0,0,False,True,graph,True
ablation_zero,48,68,68.0,0.5188419117647058,0.34375,0.4421771482321069,-0.34512867647058826,-0.21875,0.08514328794474221,6.09375,5.748621323529412,0.0,0,False,True,graph,True
ablation_zero,49,68,68.0,0.5992647058823529,0.5,0.4892126076940146,-0.4963235294117647,-0.5,0.08877995629548935,6.75,6.2536764705882355,0.0,0,False,True,graph,True
ablation_zero,50,68,68.0,0.29871323529411764,0.1875,0.3384462943371824,0.10386029411764706,0.03125,0.04050348947648574,7.375,7.478860294117647,0.0,0,False,True,graph,True
ablation_zero,51,68,68.0,0.3290441176470588,0.28125,0.2722958222515133,-0.22334558823529413,-0.171875,0.04315332684793774,7.625,7.401654411764706,0.0,0,False,True,graph,True
ablation_zero,52,68,68.0,0.4563419117647059,0.359375,0.37952569551086657,-0.3561580882352941,-0.3125,0.07375222804479732,6.1875,5.831341911764706,0.0,0,False,True,graph,True
ablation_zero,53,68,68.0,0.41222426470588236,0.375,0.30304047294993436,0.04733455882352941,-0.046875,0.05193376556680873,7.9375,7.984834558823529,0.0,0,False,True,graph,True
ablation_zero,54,68,68.0,0.6755514705882353,0.6875,0.5351734349911188,-0.5009191176470589,-0.40625,0.09083044970486462,7.4375,6.936580882352941,0.0,0,False,True,graph,True
ablation_zero,55,68,68.0,0.9129136029411765,0.625,0.8631819349507136,-0.8118106617647058,-0.625,0.18258272022306987,5.0,4.188189338235294,0.0,0,False,True,graph,True
ablation_zero,56,68,68.0,0.5643382352941176,0.46875,0.42265190187438334,-0.40441176470588236,-0.375,0.0992243049321977,5.6875,5.283088235294118,0.0,0,False,True,graph,True
ablation_zero,57,68,68.0,0.515625,0.40625,0.37068018736637404,-0.34650735294117646,-0.25,0.07783018856176575,6.625,6.278492647058823,0.0,0,False,True,graph,True
ablation_zero,58,68,68.0,1.5071231617647058,1.125,1.5639555576285544,-1.4721966911764706,-1.125,0.2364114759844064,6.375,4.902803308823529,0.0,0,False,True,graph,True
ablation_zero,59,68,68.0,1.0441176470588236,0.96875,0.8266515738640998,-0.5284926470588235,-0.4375,0.36120826584103466,2.890625,2.3621323529411766,0.058823529411764705,4,False,True,graph,True
ablation_zero,60,68,68.0,0.8244485294117647,0.75,0.6742442262975386,-0.31066176470588236,-0.1875,0.15797816102169734,5.21875,4.908088235294118,0.0,0,False,True,graph,True
ablation_zero,61,68,68.0,0.9168198529411765,0.875,0.6419259018904662,-0.42141544117647056,-0.296875,0.13097426451877622,7.0,6.578584558823529,0.0,0,False,True,graph,True
ablation_zero,62,68,68.0,0.2619485294117647,0.1875,0.24254446260652637,0.13419117647058823,0.09375,0.043658088162530605,6.0,6.134191176470588,0.0,0,False,True,graph,True
ablation_zero,63,68,68.0,0.7578125,0.515625,0.571175199836777,-0.14292279411764705,-0.15625,0.10543478246200377,7.1875,7.044577205882353,0.0,0,False,True,graph,True
ablation_zero,64,68,68.0,0.6723345588235294,0.546875,0.5384172104943515,-0.4462316176470588,-0.5,0.10148446155602787,6.625,6.178768382352941,0.0,0,False,True,graph,True
ablation_zero,65,68,68.0,0.4655330882352941,0.4375,0.33023992833911664,-0.26608455882352944,-0.25,0.059588235217844704,7.8125,7.546415441176471,0.0,0,False,True,graph,True
ablation_zero,66,68,68.0,2.381893382352941,2.3125,1.4692222524777192,-1.5712316176470589,-1.84375,0.38888055158598134,6.125,4.553768382352941,0.0,0,False,True,graph,True
ablation_zero,67,68,68.0,2.319393382352941,2.0625,1.6841397028857643,-1.7605698529411764,-1.3671875,0.6083654757427637,3.8125,2.0519301470588234,0.23529411764705882,16,False,True,graph,True
ablation_zero,68,68,68.0,0.7123161764705882,0.5625,0.49753235591484635,-0.04136029411764706,-0.375,0.1407044296421815,-5.0625,-5.103860294117647,0.0,0,False,True,graph,True
ablation_zero,69,68,68.0,0.9494485294117647,0.625,0.7063030254282848,-0.5928308823529411,-0.5,0.14606900430016534,6.5,5.907169117647059,0.0,0,False,True,graph,True
ablation_zero,70,68,68.0,2.0962775735294117,1.859375,1.028750965897333,-0.69140625,-1.4921875,1.3975183730361516,-1.5,-2.19140625,0.1323529411764706,9,False,True,graph,True
ablation_zero,71,68,68.0,1.3393841911764706,0.96875,1.4489207696889101,-1.2309283088235294,-0.96875,0.6302984399404639,2.125,0.8940716911764706,0.17647058823529413,12,False,True,graph,True
ablation_zero,72,68,68.0,0.8828125,0.6875,0.7576255491432111,-0.13189338235294118,0.1875,0.42803030095500455,2.0625,1.9306066176470589,0.10294117647058823,7,False,True,graph,True
ablation_zero,73,68,68.0,0.5597426470588235,0.375,0.4767044394727595,0.15716911764705882,0.203125,0.11056644858334004,5.0625,5.219669117647059,0.0,0,False,True,graph,True
ablation_zero,74,68,68.0,1.1686580882352942,0.875,1.0848604593400821,-0.3837316176470588,-0.1875,0.25268282934237096,4.625,4.241268382352941,0.0,0,False,True,graph,True
ablation_zero,75,68,68.0,0.47472426470588236,0.4375,0.3827044891387008,0.10707720588235294,0.21875,0.07912071065244582,6.0,6.107077205882353,0.0,0,False,True,graph,True
ablation_zero,76,68,68.0,1.0234375,0.8125,0.7397341373650461,-0.7375919117647058,-0.6875,0.4093749983625,2.5,1.7624080882352942,0.07352941176470588,5,False,True,graph,True
ablation_zero,77,68,68.0,0.9163602941176471,0.796875,0.8366711964755644,0.27849264705882354,0.140625,0.16852603079216305,5.4375,5.715992647058823,0.0,0,False,True,graph,True
ablation_zero,78,68,68.0,1.0409007352941178,0.65625,0.9424195758668552,-0.6263786764705882,-0.34375,0.32655709240111275,-3.1875,-3.8138786764705883,0.0,0,False,True,graph,True
ablation_zero,79,68,68.0,0.6723345588235294,0.46875,0.49205122482829605,-0.6116727941176471,-0.46875,0.16299019568330364,-4.125,-4.736672794117647,0.0,0,False,True,graph,True
ablation_zero,80,68,68.0,0.7040441176470589,0.59375,0.5407936279437684,-0.3952205882352941,-0.46875,0.45978391056275575,-1.53125,-1.9264705882352942,0.0,0,False,True,graph,True
ablation_zero,81,68,68.0,0.7555147058823529,0.375,0.8176134510742373,-0.5569852941176471,-0.1875,0.42414860442996044,-1.78125,-2.338235294117647,0.0,0,False,True,graph,True
ablation_zero,82,68,68.0,0.7996323529411765,0.46875,0.7732187057506688,-0.24540441176470587,-0.09375,0.14538770027041809,-5.5,-5.745404411764706,0.0,0,False,True,graph,True
ablation_zero,83,68,68.0,0.4921875,0.4375,0.48081109443881154,-0.14200367647058823,-0.0625,0.0833333331922398,-5.90625,-6.048253676470588,0.0,0,False,True,graph,True
ablation_zero,84,68,68.0,0.6590073529411765,0.6875,0.4066529034697172,-0.3290441176470588,-0.40625,0.21518607372712348,3.0625,2.733455882352941,0.0,0,False,True,graph,True
ablation_zero,85,68,68.0,0.7578125,0.4375,0.6965017657227085,-0.5629595588235294,-0.375,0.16385135099707812,4.625,4.062040441176471,0.0,0,False,True,graph,True
ablation_zero,86,68,68.0,0.90234375,0.5625,0.9560523426037096,0.5420496323529411,0.359375,0.3208333321925925,2.8125,3.354549632352941,0.0,0,False,True,graph,True
ablation_zero,87,68,68.0,0.5271139705882353,0.40625,0.542151224693109,-0.06295955882352941,-0.109375,0.15196078387564033,3.46875,3.4057904411764706,0.0,0,False,True,graph,True
ablation_zero,88,68,68.0,0.5050551470588235,0.40625,0.347591757040734,-0.4021139705882353,-0.40625,0.1233722493618567,4.09375,3.6916360294117645,0.0,0,False,True,graph,True
ablation_zero,89,68,68.0,0.484375,0.375,0.3834366580140131,-0.4329044117647059,-0.3125,0.15196078383698577,3.1875,2.754595588235294,0.0,0,False,True,graph,True
ablation_zero,90,68,68.0,0.8280101102941176,0.5546875,0.8794286047751249,-0.6901424632352942,-0.4375,0.18400224632313225,4.5,3.809857536764706,0.0,0,False,True,graph,True
ablation_zero,91,68,68.0,0.6362591911764706,0.2890625,0.6913047997617185,-0.4703584558823529,-0.1875,0.3770424814258048,1.6875,1.217141544117647,0.08823529411764706,6,False,True,graph,True
ablation_zero,92,68,68.0,0.9131433823529411,0.6796875,1.0115207771170636,-0.7679227941176471,-0.46875,0.20014101487156843,4.5625,3.794577205882353,0.0,0,False,True,graph,True
ablation_zero,93,68,68.0,0.841796875,0.625,0.738519356198171,-0.7701056985294118,-0.625,0.20721153795147923,4.0625,3.2923943014705883,0.0,0,False,True,graph,True
ablation_zero,94,68,68.0,0.716796875,0.265625,0.9208411613429273,-0.6598115808823529,-0.265625,0.17376893897268134,4.125,3.465188419117647,0.0,0,False,True,graph,True
ablation_zero,95,68,68.0,1.1159237132352942,1.09375,0.6252121991307295,-0.48058363970588236,-1.0,1.0502811319835132,1.0625,0.5819163602941176,0.35294117647058826,24,False,True,graph,True
patching,0,84,84.0,0.39955357142857145,0.375,0.3284366860356486,0.13169642857142858,0.125,0.07264610376402003,5.5,5.631696428571429,0.0,0,False,True,graph,True
patching,1,84,84.0,0.5783110119047619,0.5,0.39338627994155173,-0.34170386904761907,-0.375,0.16233291516671794,3.5625,3.220796130952381,0.0,0,False,True,graph,True
patching,2,84,84.0,1.0424107142857142,0.875,0.9128749185578567,-0.9888392857142857,-0.875,0.256593405961792,4.0625,3.0736607142857144,0.0,0,False,True,graph,True
patching,3,84,84.0,0.39806547619047616,0.375,0.330972087599015,-0.009672619047619048,0.0,0.07156233266963644,5.5625,5.552827380952381,0.0,0,False,True,graph,True
patching,4,84,84.0,0.6062127976190477,0.5,0.42276150555570885,-0.4231770833333333,-0.4375,0.12762374659848635,4.75,4.326822916666667,0.0,0,False,True,graph,True
patching,5,84,84.0,0.6691778273809523,0.390625,0.596917693033632,-0.6327194940476191,-0.390625,0.20106751560421476,3.328125,2.695405505952381,0.0,0,False,True,graph,True
patching,6,84,84.0,1.3195684523809523,0.5625,1.7683016694567701,-0.9981398809523809,-0.25,0.19549162228533867,6.75,5.751860119047619,0.0,0,False,True,graph,True
patching,7,84,84.0,1.6194196428571428,1.21875,1.5287615838603548,-0.7950148809523809,-0.375,5.182142691314292,-0.3125,-1.107514880952381,0.30952380952380953,26,False,True,graph,True
patching,8,84,84.0,2.1832217261904763,1.4296875,1.591050068047146,-1.5611979166666667,-1.125,0.6986309501453333,3.125,1.5638020833333333,0.2857142857142857,24,False,True,graph,True
patching,9,84,84.0,1.3162202380952381,0.84375,1.3002096386834099,-1.0052083333333333,-0.53125,0.2393127701276564,5.5,4.494791666666667,0.0,0,False,True,graph,True
patching,10,84,84.0,1.1015625,0.6875,0.8531124497068833,-0.40662202380952384,-0.4375,0.181701030628122,6.0625,5.655877976190476,0.0,0,False,True,graph,True
patching,11,84,84.0,2.5288318452380953,2.25,1.947739554212638,-0.5619419642857143,-1.4375,2.023065460005953,-1.25,-1.8119419642857142,0.16666666666666666,14,False,True,graph,True
patching,12,84,84.0,0.5494791666666666,0.3125,0.729533891679431,0.16778273809523808,0.0,0.19981060533402203,-2.75,-2.582217261904762,0.047619047619047616,4,False,True,graph,True
patching,13,84,84.0,1.228422619047619,1.03125,0.7238796162065367,-0.8653273809523809,-1.03125,0.5697032409741852,-2.15625,-3.021577380952381,0.0,0,False,True,graph,True
patching,14,84,84.0,0.44754464285714285,0.359375,0.3410925729392663,0.4036458333333333,0.328125,0.09945436485835532,-4.5,-4.096354166666667,0.0,0,False,True,graph,True
patching,15,84,84.0,0.4095982142857143,0.40625,0.2806015725130078,0.33891369047619047,0.34375,0.09854994605719451,-4.15625,-3.8173363095238093,0.0,0,False,True,graph,True
patching,16,84,84.0,0.5777529761904762,0.609375,0.2789815667736299,-0.5345982142857143,-0.609375,0.15536214444016258,-3.71875,-4.253348214285714,0.0,0,False,True,graph,True
patching,17,84,84.0,0.9162946428571429,0.71875,0.5934856084276301,-0.6595982142857143,-0.578125,0.23838559752150554,-3.84375,-4.503348214285714,0.0,0,False,True,graph,True
patching,18,84,84.0,0.5766369047619048,0.359375,0.6080563768779922,-0.3757440476190476,-0.1796875,0.19630192435706734,2.9375,2.5617559523809526,0.0,0,False,True,graph,True
patching,19,84,84.0,0.7652529761904762,0.53125,0.7075142293835455,-0.6610863095238095,-0.46875,0.18551587256613752,4.125,3.4639136904761907,0.0,0,False,True,graph,True
patching,20,84,84.0,0.7574404761904762,0.625,0.6152308621432326,-0.4791666666666667,-0.4296875,0.27543289943132626,2.75,2.2708333333333335,0.0,0,False,True,graph,True
patching,21,84,84.0,0.5589657738095238,0.4296875,0.5464706508088777,-0.41610863095238093,-0.171875,0.16795215688413212,3.328125,2.912016369047619,0.0,0,False,True,graph,True
patching,22,84,84.0,0.5807291666666666,0.4375,0.4419472846643463,-0.20424107142857142,-0.25,9.291665180000239,-0.0625,-0.26674107142857145,0.27380952380952384,23,False,True,graph,True
patching,23,84,84.0,0.4880952380952381,0.3125,0.389917424268441,-0.19196428571428573,-0.1875,0.2296918756697973,-2.125,-2.3169642857142856,0.0,0,False,True,graph,True
patching,24,84,84.0,0.6636904761904762,0.6875,0.5306764942928519,-0.5386904761904762,-0.34375,0.0892356941577303,7.4375,6.898809523809524,0.0,0,False,True,graph,True
patching,25,84,84.0,1.0280877976190477,0.6875,0.8922163960789664,-0.9283854166666666,-0.6875,0.2056175591125744,5.0,4.071614583333333,0.0,0,False,True,graph,True
patching,26,84,84.0,0.5758928571428571,0.4375,0.42256917214767303,-0.44047619047619047,-0.40625,0.10125588679214033,5.6875,5.247023809523809,0.0,0,False,True,graph,True
patching,27,84,84.0,0.5565476190476191,0.5625,0.36580327205983876,-0.34672619047619047,-0.3125,0.08400718765396939,6.625,6.278273809523809,0.0,0,False,True,graph,True
patching,28,84,84.0,1.6703869047619047,1.1875,1.6180516760948012,-1.6436011904761905,-1.1875,0.2620214748457553,6.375,4.731398809523809,0.03571428571428571,3,False,True,graph,True
patching,29,84,84.0,1.0853794642857142,0.921875,0.8455832884365344,-0.6635044642857143,-0.515625,0.3754826241836585,2.890625,2.2271205357142856,0.05952380952380952,5,False,True,graph,True
patching,30,84,84.0,2.540736607142857,2.375,1.564176468578952,-1.8160342261904763,-2.03125,0.41481413926444344,6.125,4.308965773809524,0.023809523809523808,2,False,True,graph,True
patching,31,84,84.0,2.4774925595238093,2.3125,1.7361647717282067,-1.9704241071428572,-2.3125,0.6498341122689754,3.8125,1.8420758928571428,0.25,21,False,True,graph,True
patching,32,84,84.0,0.7661830357142857,0.71875,0.50116021280926,0.020647321428571428,-0.28125,0.1513447968791778,-5.0625,-5.041852678571429,0.0,0,False,True,graph,True
patching,33,84,84.0,1.0329241071428572,0.625,0.7779448832321508,-0.5463169642857143,-0.5,0.15891140085442199,6.5,5.953683035714286,0.0,0,False,True,graph,True
patching,34,84,84.0,2.084077380952381,1.8984375,0.9775515466304394,-0.7779017857142857,-1.5703125,1.3893849113723549,-1.5,-2.2779017857142856,0.13095238095238096,11,False,True,graph,True
patching,35,84,84.0,1.3638392857142858,1.03515625,1.444995887717372,-1.2492559523809523,-1.03515625,0.6418067196688086,2.125,0.8757440476190477,0.15476190476190477,13,False,True,graph,True
patching,36,84,84.0,1.1774553571428572,0.734375,0.9996253147156452,-0.7354910714285714,-0.4375,0.36939775794474655,-3.1875,-3.9229910714285716,0.0,0,False,True,graph,True
patching,37,84,84.0,0.6581101190476191,0.484375,0.48882348514089097,-0.5941220238095238,-0.484375,0.15954184665507892,-4.125,-4.719122023809524,0.0,0,False,True,graph,True
patching,38,84,84.0,0.7686011904761905,0.625,0.5778551561633675,-0.37202380952380953,-0.484375,0.5019436313186966,-1.53125,-1.9032738095238095,0.011904761904761904,1,False,True,graph,True
patching,39,84,84.0,0.8229166666666666,0.34375,0.8668039839469738,-0.59375,-0.21875,0.4619883014999487,-1.78125,-2.375,0.0,0,False,True,graph,True
patching,40,84,84.0,0.8794642857142857,0.46875,0.8519188848474512,-0.3958333333333333,-0.15625,0.15990259711186539,-5.5,-5.895833333333333,0.0,0,False,True,graph,True
patching,41,84,84.0,0.5528273809523809,0.390625,0.5513020294493625,-0.18601190476190477,-0.0625,0.09360040296573573,-5.90625,-6.092261904761905,0.0,0,False,True,graph,True
patching,42,84,84.0,0.8543526785714286,0.53125,0.9026715178982144,-0.6817336309523809,-0.34375,0.18985615037174822,4.5,3.818266369047619,0.0,0,False,True,graph,True
patching,43,84,84.0,0.6436011904761905,0.2578125,0.6960359509274686,-0.5007440476190477,-0.21875,0.38139329579985637,1.6875,1.1867559523809523,0.09523809523809523,8,False,True,graph,True
patching,44,84,84.0,0.9234561011904762,0.59375,1.0244251934682211,-0.7538132440476191,-0.4375,0.2024013368036083,4.5625,3.808686755952381,0.0,0,False,True,graph,True
patching,45,84,84.0,0.8232886904761905,0.5625,0.7448977590847817,-0.7235863095238095,-0.5625,0.20265567715683291,4.0625,3.3389136904761907,0.0,0,False,True,graph,True
patching,46,84,84.0,0.7311197916666666,0.2578125,0.9265139817803719,-0.6745721726190477,-0.2578125,0.17724116118648606,4.125,3.4504278273809526,0.0,0,False,True,graph,True
patching,47,84,84.0,1.1556919642857142,1.125,0.6306721922221797,-0.5228794642857143,-1.0,1.0877100737963423,1.0625,0.5396205357142857,0.35714285714285715,30,False,True,graph,True
